"name_clean","in_rf_ds"
"2024_04_15_3ESAL012_P4150119",NA
"2024_04_15_3ESAL013_P4150108",NA
"2024_04_16_3ESAL001_P4160186",NA
"2024_04_16_3ESAL009_P4160206",NA
"2024_04_16_3ESAL081_P4160183",NA
"2024_04_16_3ESAL082_P4160179",NA
"2024_04_16_3ESAL083_P4160169",NA
"2024_04_17_3ESAL022_P4170381",NA
"2024_04_17_3ESAL025_P4170384",NA
"2024_04_17_3ESAL030_P4170276",NA
"2024_04_17_3ESAL089_P4170273",NA
"2024_04_17_3ESAL091_P4170329",NA
"2024_04_17_3ESAL092_P4170336",NA
"2024_04_17_3ESAL093_P4170337",NA
"2024_04_17_3ESAL097_P4170366",NA
"2024_04_18_3TSAL009_P4180411",NA
"2024_04_18_3TSAL080_P4180438",NA
"2024_04_22_3ESAL071_P4220744",NA
"2024_04_22_3ESAL072_P4220748",NA
"2024_04_22_3ESAL073_P4220756",NA
"2024_04_22_3ESAL074_P4220763",NA
"2024_04_22_3ESAL075_P4220772",NA
